INDICATOR,GEBIEDSTYPE,GEBIEDSCODE,DATE_FROM,DATE_TO,WAARDE
Trend GLG naar 2050,d_swf_welstandsgebieden,192,2020-01-01,,-5
Trend GLG naar 2050,d_swf_welstandsgebieden,193,2020-01-01,,-3
Trend GLG naar 2050,d_swf_welstandsgebieden,168,2020-01-01,,-16
Trend GLG naar 2050,d_swf_welstandsgebieden,169,2020-01-01,,-10
Trend GLG naar 2050,d_swf_welstandsgebieden,155,2020-01-01,,-10
Trend GLG naar 2050,d_swf_welstandsgebieden,195,2020-01-01,,-11
Trend GLG naar 2050,d_swf_welstandsgebieden,196,2020-01-01,,-11
Trend GLG naar 2050,d_swf_welstandsgebieden,197,2020-01-01,,-12
Trend GLG naar 2050,d_swf_welstandsgebieden,198,2020-01-01,,-5
Trend GLG naar 2050,d_swf_welstandsgebieden,199,2020-01-01,,-6
Trend GLG naar 2050,d_swf_welstandsgebieden,200,2020-01-01,,-17
Trend GLG naar 2050,d_swf_welstandsgebieden,201,2020-01-01,,-6
Trend GLG naar 2050,d_swf_welstandsgebieden,202,2020-01-01,,-9
Trend GLG naar 2050,d_swf_welstandsgebieden,203,2020-01-01,,-7
Trend GLG naar 2050,d_swf_welstandsgebieden,204,2020-01-01,,-7
Trend GLG naar 2050,d_swf_welstandsgebieden,205,2020-01-01,,-3
Trend GLG naar 2050,d_swf_welstandsgebieden,206,2020-01-01,,-11
Trend GLG naar 2050,d_swf_welstandsgebieden,207,2020-01-01,,-13
Trend GLG naar 2050,d_swf_welstandsgebieden,179,2020-01-01,,-23
Trend GLG naar 2050,d_swf_welstandsgebieden,211,2020-01-01,,-8
Trend GLG naar 2050,d_swf_welstandsgebieden,212,2020-01-01,,-6
Trend GLG naar 2050,d_swf_welstandsgebieden,213,2020-01-01,,-5
Trend GLG naar 2050,d_swf_welstandsgebieden,229,2020-01-01,,-13
Trend GLG naar 2050,d_swf_welstandsgebieden,230,2020-01-01,,-15
Trend GLG naar 2050,d_swf_welstandsgebieden,231,2020-01-01,,-13
Trend GLG naar 2050,d_swf_welstandsgebieden,210,2020-01-01,,-13
Trend GLG naar 2050,d_swf_welstandsgebieden,180,2020-01-01,,-3
Trend GLG naar 2050,d_swf_welstandsgebieden,181,2020-01-01,,-15
Trend GLG naar 2050,d_swf_welstandsgebieden,182,2020-01-01,,-2
Trend GLG naar 2050,d_swf_welstandsgebieden,183,2020-01-01,,-10
Trend GLG naar 2050,d_swf_welstandsgebieden,184,2020-01-01,,1
Trend GLG naar 2050,d_swf_welstandsgebieden,185,2020-01-01,,-2
Trend GLG naar 2050,d_swf_welstandsgebieden,225,2020-01-01,,-7
Trend GLG naar 2050,d_swf_welstandsgebieden,226,2020-01-01,,-21
Trend GLG naar 2050,d_swf_welstandsgebieden,227,2020-01-01,,-15
Trend GLG naar 2050,d_swf_welstandsgebieden,228,2020-01-01,,-7
Trend GLG naar 2050,d_swf_welstandsgebieden,243,2020-01-01,,-15
Trend GLG naar 2050,d_swf_welstandsgebieden,244,2020-01-01,,-15
Trend GLG naar 2050,d_swf_welstandsgebieden,233,2020-01-01,,-17
Trend GLG naar 2050,d_swf_welstandsgebieden,219,2020-01-01,,-8
Trend GLG naar 2050,d_swf_welstandsgebieden,220,2020-01-01,,-10
Trend GLG naar 2050,d_swf_welstandsgebieden,221,2020-01-01,,-2
Trend GLG naar 2050,d_swf_welstandsgebieden,222,2020-01-01,,-6
Trend GLG naar 2050,d_swf_welstandsgebieden,234,2020-01-01,,-13
Trend GLG naar 2050,d_swf_welstandsgebieden,235,2020-01-01,,-9
Trend GLG naar 2050,d_swf_welstandsgebieden,236,2020-01-01,,-13
Trend GLG naar 2050,d_swf_welstandsgebieden,208,2020-01-01,,-12
